Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
Palau,8693.66,1685.39,6300.11,39.31,2565.84,54.17,147.65
Panama,63705.87,45475.90,519585.27,5645.47,99173.49,3619.99,24460.81
Papua New Guinea,54024.35,38259.51,329180.48,12991.79,81319.07,3809.18,32931.88
Paraguay,86925.12,9761.69,948105.93,23802.47,212080.53,8979.50,105052.96
Peru,313840.44,1162676.61,1593216.39,41921.92,407954.66,19162.35,221601.16
Philippines,669617.54,545617.99,3266633.22,87735.67,1248417.22,42677.71,514186.96
Poland,672063.23,437663.79,2312612.54,80044.75,666033.15,27541.70,335662.74
Portugal,133849.98,41383.28,249534.69,8056.45,156906.50,2958.91,59786.51
Puerto Rico,5179.41,26022.92,15918.01,1384.68,23473.84,726.81,7736.48
Qatar,198635.94,161890.81,168551.48,3386.47,470390.78,10796.29,9048.65
Reunion,19750.64,21270.16,34957.36,2428.07,22160.40,2424.10,5239.69
Romania,208505.57,75724.76,742812.24,50794.39,227581.35,8986.46,202549.42
Russia,3650510.30,4936763.22,7415944.69,278986.61,3990978.97,156322.77,1177554.03
Rwanda,19295.63,4292.76,534973.38,36910.04,128446.66,10584.01,55778.34
Saint Kitts and Nevis,2355.75,455.11,4603.07,149.68,1032.43,42.26,226.71
Saint Lucia,3725.68,487.91,9672.89,463.39,2459.48,94.75,1096.78
Saint Pierre and Miquelon,478.05,72.58,578.32,2.03,100.34,1.18,31.05
Saint Vincent and the Grenadines,1700.82,264.72,3645.23,101.11,1066.78,28.19,382.39
Samoa,1480.91,1794.54,4851.74,278.31,1727.68,101.79,2047.35
Sao Tome and Principe,1830.80,508.72,14662.49,653.18,3912.67,243.12,1027.69
Saudi Arabia,2113143.04,3687984.50,1483704.82,24647.65,1712130.22,69879.49,125937.71
Senegal,82526.90,65447.95,615603.66,17039.69,209382.42,7860.33,95705.00
Serbia,124236.57,540524.45,307124.51,14086.47,49993.50,4888.71,14949.98
Seychelles,7537.62,2973.90,7643.96,318.43,5118.30,536.07,329.74
Sierra Leone,18913.26,4591.27,488723.06,20756.51,130589.27,6366.71,36883.30
Singapore,118191.58,185930.47,95549.31,19823.55,296164.98,8999.72,12978.02
Slovakia,56601.67,21639.76,341779.24,11164.35,85750.49,2334.86,31382.75
Slovenia,30333.31,4393.69,99626.93,7325.37,29302.74,1320.38,15952.23
Solomon Islands,1397.71,1517.16,5955.73,326.24,2830.43,148.18,1858.74
Somalia,28665.93,4518.35,1177880.60,32228.21,308914.24,10189.34,134462.97
South Africa,1640120.45,3036019.29,6624304.62,165563.78,1825847.33,101268.38,350476.14
South Korea,1008372.29,278491.76,890880.28,59873.38,978284.36,26332.64,311140.14
South Sudan,29606.92,4515.13,760807.97,22095.85,225459.53,6374.08,127522.31
Spain,641691.58,188274.45,1240913.42,24732.60,526105.71,11285.89,510394.02
Sri Lanka,324498.93,245299.80,2047772.02,105232.67,595929.22,26290.84,143212.66
Sudan,248389.12,90830.08,2385817.66,84336.73,725192.59,34244.40,434556.54
Suriname,25892.03,15460.59,35757.02,664.06,11782.57,509.99,3397.19
Sweden,103744.67,17598.25,354059.66,19507.72,132467.90,5128.98,60422.96
Switzerland,54021.34,4812.89,137198.38,7200.98,76999.55,2289.92,54333.11
Syria,98126.51,141186.58,126533.22,9627.82,138761.99,5751.48,57928.02
Taiwan,302438.02,72195.36,454766.84,49791.28,508660.94,33216.95,86226.58
Tajikistan,82365.49,32126.53,745926.36,33246.87,182019.04,4429.44,23411.43
Tanzania,161055.28,28843.92,4884414.44,191171.07,1184950.94,55218.50,441740.73
Thailand,1206344.47,448504.98,9762535.91,240695.88,3169442.24,100016.64,737725.43
Timor,4086.72,1481.07,20854.85,1397.58,6100.52,385.50,7655.55
Togo,25618.99,4824.22,805349.51,17990.77,243988.41,6258.13,54248.03
Tokelau,2.58,0.23,19.97,2.11,6.19,0.46,10.70
Tonga,1185.23,798.05,2317.68,230.00,1072.31,64.28,1042.64
Trinidad and Tobago,37572.70,4427.04,139812.24,3181.09,70448.45,2649.68,14662.52
Tunisia,95301.83,43002.28,382830.69,15294.55,175987.53,11914.55,59352.18
Turkey,867050.28,2638195.05,1572748.11,60191.32,621408.43,42264.46,736225.55
Turkmenistan,481609.32,148912.93,571037.82,11631.99,188513.36,8932.91,17024.01
Uganda,112898.40,19527.81,4193660.48,133160.95,928862.27,38554.54,331421.13
Ukraine,467592.39,371021.69,1464552.31,48217.90,604318.46,18155.81,434972.67
United Arab Emirates,539097.11,525422.88,917063.12,6776.29,975937.86,18490.99,22762.02
United Kingdom,738638.52,139173.31,1434706.76,30705.48,788996.98,13465.19,361509.83
United States,7679316.63,1921172.15,28843362.52,279399.57,10646076.14,128396.08,3628009.15
Uruguay,69866.60,26589.39,507803.04,16343.01,94364.61,4815.28,105396.37
Uzbekistan,289915.05,1113426.14,543060.10,55008.00,150896.71,7711.75,62525.67
Vanuatu,1196.59,1113.97,5817.76,359.03,2019.07,109.37,3181.05
Venezuela,401423.21,269006.57,3230147.89,18997.93,1281433.91,8901.81,276679.11
Vietnam,1177238.84,852061.42,11708923.29,226891.68,2296905.23,90055.98,667801.76
Wallis and Futuna,139.26,141.59,369.04,23.67,84.07,10.29,205.20
Yemen,55096.00,37454.55,156179.59,6447.93,133902.55,2142.05,96966.02
Zambia,56674.37,1194391.89,1899273.01,80081.84,526420.37,23038.70,160141.44
Zimbabwe,70779.92,45896.98,1647792.46,114543.28,306574.85,32364.53,121689.67
